POS,Name,OVR,CType,CYear,CTM,CON/STU,POW/MOV,EYE/CON,FLD/STA,L10,SELL,MC,St,Act/Deact,QS,Sell
RP,Matt Strahm,74,2024 MLB,2024,Philadelphia Phillies,92,70,83,22,386,0,2,Inactive,Activate,QS 100,Sell
DH,Kyle Stowers,64,2024 MLB,2024,Baltimore Orioles,64,82,75,-,60,0,2,Inactive,Activate,Locked,
SS,Trevor Story,73,2024 MLB,2024,Boston Red Sox,66,75,70,67,598,0,2,Reserve,Deactivate,Locked,
RP,Arnie Stone,61,RS,1924,Pittsburgh Pirates,28,97,82,24,69,0,0,Inactive,Activate,QS 25,Sell
SP,Dick Stigman,60,Snapshot,1962,Minnesota Twins,86,68,51,54,69,0,0,Inactive,Activate,QS 25,Sell
SP,Dave Stieb,40,UnH,1993,Chicago White Sox,49,77,64,77,77,0,0,Inactive,Activate,QS 5,Sell
RF,DJ Stewart,54,2024 MLB,2024,New York Mets,62,76,69,53,13,0,2,Inactive,Activate,Locked,
RP,Brock Stewart,68,2024 MLB,2024,Minnesota Twins,117,71,66,19,52,0,2,Inactive,Activate,Locked,
1B,Lee Stevens,47,Snapshot,1998,Texas Rangers,55,91,64,59,26,0,0,Inactive,Activate,QS 5,Sell
C,Tyler Stephenson,65,2024 MLB,2024,Cincinnati Reds,75,70,77,59,57,0,2,Inactive,Activate,Locked,
RP,Robert Stephenson,54,Snapshot,2021,Colorado Rockies,68,74,51,12,13,0,0,Inactive,Activate,QS 5,Sell
RP,Jackson Stephens,50,2024 MLB,2024,Atlanta Braves,62,69,75,20,8,0,2,Inactive,Activate,QS 5,Sell
RF,Hank Steinbacher,64,RS,1938,Chicago White Sox,97,42,68,57,50,0,0,Inactive,Activate,QS 25,Sell
2B,Michael Stefanic,63,2024 MLB,2024,Los Angeles Angels,78,30,74,51,70,0,2,Inactive,Activate,Locked,
SP,Bob Steele,75,UnH,1918,New York Giants,65,73,88,92,233,0,0,Inactive,Activate,QS 100,Sell
C,Max Stassi,66,2024 MLB,2024,Chicago White Sox,61,74,76,69,59,0,2,Inactive,Activate,Locked,
SP,Ray Starr,67,All-Star,1942,Cincinnati Reds,45,84,60,98,51,0,0,Inactive,Activate,QS 25,Sell
DH,Giancarlo Stanton,71,2024 MLB,2024,New York Yankees,59,110,81,-,568,0,2,Reserve,Deactivate,QS 100,Sell
C,Mike Stanley,62,Snapshot,1996,Boston Red Sox,57,90,104,27,52,0,0,Inactive,Activate,QS 25,Sell
CF,Mickey Stanley,72,Snapshot,1968,Detroit Tigers,72,70,68,75,320,0,0,Reserve,Deactivate,QS 100,Sell
CL,Don Stanhouse,59,Snapshot,1978,Baltimore Orioles,69,123,9,16,98,0,1,Inactive,Activate,Locked,
RP,Ryne Stanek,58,2024 MLB,2024,Seattle Mariners,91,74,54,20,9,0,2,Inactive,Activate,Locked,
C,Jacob Stallings,48,2024 MLB,2024,Colorado Rockies,62,38,76,65,10,0,2,Inactive,Activate,Locked,
1B,Matt Stairs,66,Snapshot,2007,Toronto Blue Jays,62,91,77,43,48,0,0,Inactive,Activate,QS 25,Sell
1B,Scott Stahoviak,64,Snapshot,1996,Minnesota Twins,69,72,80,95,59,0,0,Inactive,Activate,QS 25,Sell
SP,Jim St. Vrain,76,SE,1902,Chicago Orphans,100,76,63,107,210,0,0,Reserve,Deactivate,QS 100,Sell
CF,George Springer,76,2024 MLB,2024,Toronto Blue Jays,71,78,75,65,548,0,2,Reserve,Deactivate,Locked,
3B,Ed Sprague,46,Snapshot,1993,Toronto Blue Jays,62,59,61,42,71,0,0,Inactive,Activate,QS 5,Sell
RF,Ryan Spilborghs,70,SE,2008,Colorado Rockies,97,56,108,39,329,0,0,Inactive,Activate,QS 100,Sell
RP,Gabe Speier,68,2024 MLB,2024,Seattle Mariners,89,69,91,16,63,0,2,Inactive,Activate,Locked,
3B,Cory Spangenberg,51,Snapshot,2017,San Diego Padres,68,55,63,54,17,0,0,Inactive,Activate,QS 5,Sell
RP,Bennett Sousa,53,2024 MLB,2024,Houston Astros,90,68,68,19,8,0,2,Inactive,Activate,Locked,
RP,Gregory Soto,84,2024 MLB,2024,Philadelphia Phillies,95,93,59,20,2 489,0,2,Reserve,Deactivate,QS 1 000,Sell
RF,Sammy Sosa,62,All-Star,1995,Chicago Cubs,54,98,68,79,81,0,0,Inactive,Activate,QS 25,Sell
RF,Sammy Sosa,62,All-Star,1995,Chicago Cubs,54,98,68,79,81,0,0,Inactive,Activate,QS 25,Sell
SS,Lenyn Sosa,50,2024 MLB,2024,Chicago White Sox,65,68,52,57,13,0,2,Inactive,Activate,Locked,
2B,Edmundo Sosa,65,2024 MLB,2024,Philadelphia Phillies,66,55,48,81,61,0,2,Inactive,Activate,Locked,
SP,Michael Soroka,65,2024 MLB,2024,Chicago White Sox,72,72,86,57,59,0,2,Inactive,Activate,Locked,
RP,Jose Soriano,56,2024 MLB,2024,Los Angeles Angels,118,73,51,21,9,0,2,Inactive,Activate,Locked,
RP,George Soriano,52,2024 MLB,2024,Miami Marlins,78,69,60,44,9,0,2,Inactive,Activate,Locked,
2B,Alfonso Soriano,67,All-Star,2003,New York Yankees,63,88,57,66,150,0,0,Inactive,Activate,QS 25,Sell
RF,Jorge Soler,50,RS,2015,Chicago Cubs,71,67,70,52,18,0,0,Inactive,Activate,QS 5,Sell
C,Tyler Soderstrom,41,2024 MLB,2024,Oakland Athletics,58,76,57,34,20,0,2,Inactive,Activate,Locked,
RP,Collin Snider,41,2024 MLB,2024,Seattle Mariners,59,75,52,20,9,0,2,Inactive,Activate,Locked,
SP,Ian Snell,49,Snapshot,2006,Pittsburgh Pirates,74,63,57,62,17,0,0,Inactive,Activate,QS 5,Sell
SP,Drew Smyly,76,2024 MLB,2024,Chicago Cubs,83,68,82,60,709,0,2,Reserve,Deactivate,Locked,
CF,Homer Smoot,62,Snapshot,1904,St. Louis Cardinals,74,77,65,59,40,0,0,Inactive,Activate,QS 25,Sell
SP,AJ Smith-Shawver,60,2024 MLB,2024,Atlanta Braves,91,69,55,56,53,0,2,Inactive,Activate,QS 25,Sell
CL,Will Smith,73,2024 MLB,2024,Kansas City Royals,79,74,81,14,326,0,2,Reserve,Deactivate,Locked,
SP,Sherry Smith,53,Snapshot,1925,Cleveland,29,77,108,97,30,0,0,Inactive,Activate,QS 5,Sell
SP,Sherry Smith,53,Snapshot,1925,Cleveland,29,77,108,97,30,0,0,Inactive,Activate,QS 5,Sell
1B,Pavin Smith,59,2024 MLB,2024,Arizona Diamondbacks,67,59,80,77,12,0,2,Inactive,Activate,Locked,
3B,Josh Smith,67,2024 MLB,2024,Texas Rangers,64,59,81,68,48,0,2,Inactive,Activate,Locked,
RP,George Smith,66,UnH,1928,Detroit Tigers,90,79,45,24,60,0,0,Inactive,Activate,QS 25,Sell
RP,Drew Smith,56,2024 MLB,2024,New York Mets,88,66,74,18,19,0,2,Inactive,Activate,Locked,
1B,Dominic Smith,83,Snapshot,2020,New York Mets,91,77,72,63,1 385,0,0,Reserve,Deactivate,QS 1 000,Sell
1B,Dominic Smith,55,2024 MLB,2024,Chicago Cubs,72,55,67,62,9,0,2,Inactive,Activate,Locked,
SP,Caleb Smith,64,RS,2018,Miami Marlins,74,78,49,54,37,0,0,Inactive,Activate,QS 25,Sell
RP,Aaron Small,57,Peak,1997,Oakland Athletics,39,86,62,19,16,0,0,Inactive,Activate,QS 5,Sell
SP,Kevin Slowey,55,Snapshot,2009,Minnesota Twins,60,52,121,60,25,0,0,Inactive,Activate,QS 5,Sell
RP,Lou Sleater,59,Snapshot,1957,Detroit Tigers,69,70,68,21,72,0,1,Inactive,Activate,QS 5,Sell
CF,Austin Slater,77,2024 MLB,2024,San Francisco Giants,75,69,78,59,438,0,2,Reserve,Deactivate,Locked,
SP,Tarik Skubal,55,RS,2021,Detroit Tigers,69,60,68,53,19,0,0,Inactive,Activate,QS 5,Sell
1B,Bill Skowron,76,RS,1954,New York Yankees,98,77,60,58,396,0,0,Reserve,Deactivate,QS 100,Sell
1B,George Sisler,55,Snapshot,1929,Boston Braves,91,23,53,36,26,0,0,Inactive,Activate,QS 5,Sell
RP,Tony Sipp,65,RS,2009,Cleveland,123,83,21,11,49,0,0,Inactive,Activate,QS 25,Sell
LF,Ken Singleton,69,Snapshot,1972,Montreal Expos,66,77,89,76,65,0,0,Inactive,Activate,QS 25,Sell
1B,Jon Singleton,55,2024 MLB,2024,Houston Astros,59,77,104,53,8,0,2,Inactive,Activate,Locked,
SP,Brady Singer,67,2024 MLB,2024,Kansas City Royals,77,75,85,61,65,0,2,Inactive,Activate,Locked,
RP,Lucas Sims,65,2024 MLB,2024,Cincinnati Reds,107,78,48,19,78,0,3,Inactive,Activate,Locked,
1B,Randall Simon,49,Snapshot,2003,Pittsburgh Pirates,71,73,50,40,18,0,0,Inactive,Activate,QS 5,Sell
SP,Chase Silseth,70,2024 MLB,2024,Los Angeles Angels,89,71,71,55,570,0,2,Inactive,Activate,Locked,
SP,Jared Shuster,59,2024 MLB,2024,Chicago White Sox,71,70,74,55,9,0,2,Inactive,Activate,Locked,
SS,Frank Shugart,62,RS,1891,Pittsburgh Pirates,71,74,58,60,67,0,0,Inactive,Activate,QS 25,Sell
SP,Clyde Shoun,66,Snapshot,1944,Cincinnati Reds,40,78,96,88,65,0,0,Inactive,Activate,QS 25,Sell
LF,Burt Shotton,67,Snapshot,1916,St. Louis Browns,71,30,107,76,39,0,0,Inactive,Activate,QS 25,Sell
SS,Zack Short,58,2024 MLB,2024,New York Mets,57,68,96,57,9,0,2,Inactive,Activate,Locked,
1B,Art Shires,54,RS,1929,Chicago White Sox,76,39,65,32,26,0,0,Inactive,Activate,QS 5,Sell
2B,Tim Shinnick,47,RS,1890,Louisville Colonels,59,27,82,56,14,0,0,Inactive,Activate,QS 5,Sell
CL,Larry Sherry,46,Snapshot,1966,Detroit Tigers,80,73,33,17,26,0,0,Inactive,Activate,QS 5,Sell
1B,Gavin Sheets,55,2024 MLB,2024,Chicago White Sox,67,75,69,64,9,0,2,Inactive,Activate,Locked,
SP,Dupee Shaw,54,RS,1883,Detroit Wolverines,51,74,54,115,19,0,0,Inactive,Activate,QS 5,Sell
LF,Spike Shannon,57,UnH,1905,St. Louis Cardinals,72,26,66,92,26,0,0,Inactive,Activate,QS 5,Sell
C,Luke Sewell,56,All-Star,1937,Chicago White Sox,70,25,71,66,167,0,1,Inactive,Activate,Locked,
SP,Ed Seward,76,RS,1887,Philadelphia Athletics,62,82,59,113,265,0,0,Inactive,Activate,QS 100,Sell
CL,Paul Sewald,77,2024 MLB,2024,Arizona Diamondbacks,112,73,76,18,464,0,2,Reserve,Deactivate,Locked,
3B,Nick Senzel,56,2024 MLB,2024,Washington Nationals,64,52,68,70,10,0,2,Inactive,Activate,Locked,
SP,Frank Seminara,57,RS,1992,San Diego Padres,54,80,47,60,16,0,0,Inactive,Activate,QS 5,Sell
SP,Frank Seminara,57,RS,1992,San Diego Padres,54,80,47,60,16,0,0,Inactive,Activate,QS 5,Sell
SP,Frank Seminara,57,RS,1992,San Diego Padres,54,80,47,60,16,0,0,Inactive,Activate,QS 5,Sell
2B,Marcus Semien,92,2024 MLB,2024,Texas Rangers,77,77,76,85,4 822,0,2,Reserve,Deactivate,Locked,
RP,Dave Sells,48,RS,1973,California Angels,36,90,53,16,56,0,0,Inactive,Activate,QS 5,Sell
RP,Colin Selby,46,2024 MLB,2024,Pittsburgh Pirates,87,70,46,16,11,0,2,Inactive,Activate,Locked,
SP,Socks Seibold,58,Snapshot,1930,Boston Braves,43,78,64,91,18,0,0,Inactive,Activate,QS 5,Sell
CF,Bob Seeds,52,Snapshot,1938,New York Giants,61,77,56,54,16,0,0,Inactive,Activate,QS 5,Sell
SP,Tom Seats,60,Snapshot,1945,Brooklyn Dodgers,55,69,73,56,44,0,0,Inactive,Activate,QS 25,Sell
SP,JP Sears,79,2024 MLB,2024,Oakland Athletics,84,73,87,62,331,0,2,Inactive,Activate,Locked,
3B,Rodney Scott,57,Snapshot,1978,Chicago Cubs,71,17,119,52,20,0,0,Inactive,Activate,QS 5,Sell
1B,George Scott,50,RS,1966,Boston Red Sox,52,85,76,83,53,0,0,Inactive,Activate,QS 5,Sell
1B,George Scott,50,RS,1966,Boston Red Sox,52,85,76,83,53,0,0,Inactive,Activate,QS 5,Sell
RP,John Schreiber,70,2024 MLB,2024,Kansas City Royals,95,73,75,22,304,0,2,Reserve,Deactivate,Locked,
SP,Johnny Schmitz,66,Snapshot,1954,Washington Senators,34,98,71,88,54,0,0,Inactive,Activate,QS 25,Sell
3B,Casey Schmitt,55,2024 MLB,2024,San Francisco Giants,64,51,57,75,10,0,2,Inactive,Activate,Locked,
SP,Clarke Schmidt,66,2024 MLB,2024,New York Yankees,86,71,82,54,49,0,2,Inactive,Activate,QS 25,Sell
SP,Carl Scheib,62,UnH,1951,Philadelphia Athletics,45,88,51,54,46,0,0,Inactive,Activate,QS 25,Sell
1B,Nolan Schanuel,68,2024 MLB,2024,Los Angeles Angels,73,76,94,66,56,0,2,Inactive,Activate,Locked,
1B,Les Scarsella,47,RS,1936,Cincinnati Reds,79,30,33,64,62,0,0,Inactive,Activate,QS 5,Sell
RP,Josh Sborz,66,2024 MLB,2024,Texas Rangers,101,68,75,15,45,0,2,Inactive,Activate,Locked,
C,Carl Sawatski,54,Snapshot,1962,St. Louis Cardinals,49,91,83,56,42,0,0,Inactive,Activate,QS 5,Sell
2B,Bob Saverine,44,Snapshot,1966,Washington Senators,69,40,66,44,36,0,0,Inactive,Activate,QS 5,Sell
C,Nelson Santovenia,47,RS,1988,Montreal Expos,52,75,65,42,15,0,0,Inactive,Activate,QS 5,Sell
C,Benito Santiago,82,SE,1990,San Diego Padres,77,79,61,69,1 256,0,0,Reserve,Deactivate,QS 1 000,Sell
RF,Anthony Santander,74,2024 MLB,2024,Baltimore Orioles,67,87,69,68,339,0,2,Inactive,Activate,QS 100,Sell
RP,Dennis Santana,47,2024 MLB,2024,New York Yankees,78,68,55,23,9,0,2,Inactive,Activate,QS 5,Sell
DH,Carlos Santana,57,2024 MLB,2024,Minnesota Twins,61,79,99,-,10,0,2,Inactive,Activate,Locked,
RP,Cole Sands,54,2024 MLB,2024,Minnesota Twins,73,69,67,44,12,0,2,Inactive,Activate,Locked,
SP,Patrick Sandoval,72,2024 MLB,2024,Los Angeles Angels,87,74,74,50,530,0,2,Inactive,Activate,Locked,
RP,Nick Sandlin,68,2024 MLB,2024,Cleveland Guardians,94,75,68,14,55,0,2,Inactive,Activate,Locked,
SS,Heinie Sand,40,RS,1923,Philadelphia Phillies,46,56,110,51,24,0,0,Inactive,Activate,QS 5,Sell
SP,Jonathan Sanchez,58,Snapshot,2009,San Francisco Giants,96,77,30,57,20,0,0,Inactive,Activate,QS 5,Sell
SP,Jesus Sanchez,45,RS,1998,Florida Marlins,62,72,36,59,18,0,0,Inactive,Activate,QS 5,Sell
C,Gary Sanchez,58,2024 MLB,2024,Milwaukee Brewers,55,97,77,52,10,0,2,Inactive,Activate,Locked,
SP,Cristopher Sanchez,62,2024 MLB,2024,Philadelphia Phillies,70,71,85,56,65,0,2,Inactive,Activate,Locked,
2B,Juan Samuel,48,RS,1984,Philadelphia Phillies,65,69,53,39,84,0,1,Inactive,Activate,Locked,
2B,Juan Samuel,48,RS,1984,Philadelphia Phillies,65,69,53,39,84,0,1,Inactive,Activate,QS 5,Sell
SP,Adrian Sampson,59,2024 MLB,2024,Texas Rangers,67,67,83,58,9,0,2,Inactive,Activate,Locked,
RP,Bill Sampen,55,Snapshot,1992,Montreal Expos,43,83,69,18,14,0,0,Inactive,Activate,QS 5,Sell
RP,Bill Sampen,55,Snapshot,1992,Montreal Expos,43,83,69,18,14,0,0,Inactive,Activate,QS 5,Sell
3B,Jack Saltzgaver,51,RS,1934,New York Yankees,61,72,80,44,17,0,0,Inactive,Activate,QS 5,Sell
C,Jarrod Saltalamacchia,72,Peak,2013,Boston Red Sox,61,84,77,68,298,0,0,Inactive,Activate,QS 100,Sell
LF,Luis Salazar,57,Snapshot,1988,Detroit Tigers,65,73,53,58,18,0,0,Inactive,Activate,QS 5,Sell
DH,Blake Sabol,69,2024 MLB,2024,San Francisco Giants,74,69,69,-,66,0,2,Inactive,Activate,Locked,
RP,Allen Russell,40,Snapshot,1924,Washington Senators,44,90,29,24,63,0,1,Inactive,Activate,QS 5,Sell
C,Keibert Ruiz,63,2024 MLB,2024,Washington Nationals,77,75,61,51,59,0,2,Inactive,Activate,Locked,
RP,Jose Ruiz,51,2024 MLB,2024,Philadelphia Phillies,81,67,63,16,9,0,2,Inactive,Activate,Locked,
CF,Esteury Ruiz,77,2024 MLB,2024,Oakland Athletics,67,39,60,72,397,0,2,Inactive,Activate,Locked,
CL,Bruce Ruffin,67,Snapshot,1995,Colorado Rockies,61,103,25,11,55,0,0,Inactive,Activate,QS 25,Sell
RP,Michael Rucker,48,2024 MLB,2024,Philadelphia Phillies,65,67,70,21,10,0,2,Inactive,Activate,Locked,
LF,Jack Rothrock,62,Snapshot,1931,Boston Red Sox,59,48,75,90,40,0,0,Inactive,Activate,QS 25,Sell
C,Ben Rortvedt,42,2024 MLB,2024,New York Yankees,57,69,73,51,11,0,2,Inactive,Activate,QS 5,Sell
DH,Brent Rooker,68,2024 MLB,2024,Oakland Athletics,60,86,76,-,53,0,2,Inactive,Activate,Locked,
SP,Ricky Romero,68,All-Star,2011,Toronto Blue Jays,64,77,56,74,69,0,0,Inactive,Activate,QS 25,Sell
CL,Jordan Romano,75,2024 MLB,2024,Toronto Blue Jays,107,72,75,15,570,0,2,Reserve,Deactivate,Locked,
SP,Drew Rom,66,2024 MLB,2024,St. Louis Cardinals,75,75,78,54,39,0,2,Inactive,Activate,Locked,
RP,Jim Roland,79,Snapshot,1970,Oakland Athletics,56,113,31,16,484,0,0,Active,Deactivate,QS 100,Sell
SS,Miguel Rojas,64,2024 MLB,2024,Los Angeles Dodgers,69,34,60,87,47,0,2,Inactive,Activate,QS 25,Sell
3B,Josh Rojas,60,2024 MLB,2024,Seattle Mariners,60,51,75,70,56,0,2,Inactive,Activate,QS 25,Sell
RP,Tyler Rogers,84,2024 MLB,2024,San Francisco Giants,60,97,92,15,1 612,0,2,Inactive,Activate,Locked,
SP,Kenny Rogers,60,All-Star,2006,Detroit Tigers,36,85,68,65,45,0,0,Inactive,Activate,QS 25,Sell
C,Jake Rogers,69,2024 MLB,2024,Detroit Tigers,56,82,70,76,42,0,2,Inactive,Activate,Locked,
RP,Yerry Rodriguez,48,2024 MLB,2024,Texas Rangers,77,68,62,23,9,0,2,Inactive,Activate,Locked,
SP,Eduardo Rodriguez,91,2024 MLB,2024,Arizona Diamondbacks,84,79,83,75,4 493,0,2,Reserve,Deactivate,Locked,
2B,Brendan Rodgers,67,2024 MLB,2024,Colorado Rockies,70,47,62,76,60,0,2,Inactive,Activate,Locked,
SS,Andre Rodgers,51,Snapshot,1962,Chicago Cubs,70,34,69,61,54,0,0,Inactive,Activate,QS 5,Sell
CF,Victor Robles,68,2024 MLB,2024,Washington Nationals,64,39,66,86,69,0,2,Inactive,Activate,Locked,
SP,Humberto Robinson,62,Snapshot,1959,Philadelphia Phillies,44,78,77,54,46,0,0,Inactive,Activate,QS 25,Sell
RP,Nick Robertson,70,2024 MLB,2024,St. Louis Cardinals,90,73,74,17,747,0,2,Reserve,Deactivate,Locked,
CL,David Robertson,67,2024 MLB,2024,Texas Rangers,106,71,67,15,58,0,2,Inactive,Activate,Locked,
SP,Robin Roberts,94,HaH,1952,Philadelphia Phillies,53,78,137,106,9 338,0,0,Active,Deactivate,QS 4 000,Sell
RP,Bert Roberge,56,RS,1979,Houston Astros,50,125,12,15,107,0,1,Inactive,Activate,Locked,
1B,Anthony Rizzo,64,2024 MLB,2024,New York Yankees,62,77,75,82,43,0,2,Inactive,Activate,QS 25,Sell
SS,Luis Rivera,52,UnH,1991,Boston Red Sox,61,56,68,67,17,0,0,Inactive,Activate,QS 5,Sell
3B,Emmanuel Rivera,65,2024 MLB,2024,Arizona Diamondbacks,70,59,65,58,54,0,2,Inactive,Activate,Locked,
1B,Alfonso Rivas,60,2024 MLB,2024,St. Louis Cardinals,71,45,81,58,43,0,2,Inactive,Activate,Locked,
DH,Edwin Rios,53,2024 MLB,2024,Cincinnati Reds,58,77,70,-,9,0,2,Inactive,Activate,Locked,
SP,Paul Rigdon,53,RS,2000,Milwaukee Brewers,56,63,69,57,119,0,1,Inactive,Activate,QS 5,Sell
RP,Trevor Richards,54,2024 MLB,2024,Toronto Blue Jays,103,62,62,32,8,0,2,Inactive,Activate,Locked,
SP,Garrett Richards,68,Snapshot,2015,Los Angeles Angels,61,82,54,67,85,0,0,Inactive,Activate,QS 25,Sell
RF,Sam Rice,79,Snapshot,1925,Washington Senators,107,9,56,83,1 883,0,1,Inactive,Activate,QS 100,Sell
SP,Rick Rhoden,55,All-Star,1976,Los Angeles Dodgers,43,70,71,78,49,0,0,Inactive,Activate,QS 5,Sell
SP,Rick Rhoden,55,All-Star,1976,Los Angeles Dodgers,43,70,71,78,49,0,0,Inactive,Activate,QS 5,Sell
LF,R.J. Reynolds,62,Snapshot,1985,Los Angeles Dodgers,72,30,59,87,47,0,0,Inactive,Activate,QS 25,Sell
SS,Craig Reynolds,53,All-Star,1978,Seattle Mariners,79,32,55,57,31,0,0,Inactive,Activate,QS 5,Sell
SS,Craig Reynolds,53,All-Star,1978,Seattle Mariners,79,32,55,57,31,0,0,Inactive,Activate,QS 5,Sell
LF,Bryan Reynolds,77,2024 MLB,2024,Pittsburgh Pirates,72,78,76,71,312,0,2,Reserve,Deactivate,QS 100,Sell
RF,Pablo Reyes,62,2024 MLB,2024,Boston Red Sox,74,51,69,65,42,0,2,Inactive,Activate,Locked,
SS,Jose Reyes,50,HaH,2005,New York Mets,76,30,53,51,28,0,0,Inactive,Activate,QS 5,Sell
SP,Jerry Reuss,54,RS,1970,St. Louis Cardinals,50,73,62,74,63,0,0,Inactive,Activate,QS 5,Sell
LF,Rip Repulski,50,All-Star,1956,St. Louis Cardinals,67,72,57,58,19,0,0,Inactive,Activate,QS 5,Sell
RF,Roger Repoz,44,Snapshot,1971,California Angels,38,91,117,95,48,0,0,Inactive,Activate,QS 5,Sell
RF,Hunter Renfroe,69,2024 MLB,2024,Kansas City Royals,67,80,74,70,48,0,2,Inactive,Activate,Locked,
3B,Anthony Rendon,59,2024 MLB,2024,Los Angeles Angels,63,65,91,63,9,0,2,Inactive,Activate,Locked,
1B,Rich Reese,76,Snapshot,1969,Minnesota Twins,91,79,54,74,221,0,0,Inactive,Activate,QS 100,Sell
RP,Steve Reed,68,Snapshot,2004,Colorado Rockies,41,77,115,12,114,0,0,Inactive,Activate,QS 25,Sell
RF,Josh Reddick,52,Snapshot,2013,Oakland Athletics,52,73,85,93,40,0,0,Inactive,Activate,QS 5,Sell
SP,Colin Rea,81,2024 MLB,2024,Milwaukee Brewers,79,72,88,70,2 388,0,2,Inactive,Activate,Locked,
2B,Johnny Rawlings,59,RS,1917,Boston Braves,65,74,76,62,30,0,0,Inactive,Activate,QS 5,Sell
RP,Doug Rau,54,RS,1973,Los Angeles Dodgers,77,68,53,21,40,0,0,Inactive,Activate,QS 5,Sell
SP,Pedro Ramos,80,Snapshot,1963,Cleveland,92,59,90,77,1 398,0,0,Inactive,Activate,QS 1 000,Sell
RF,Heliot Ramos,63,2024 MLB,2024,San Francisco Giants,69,58,64,80,48,0,2,Inactive,Activate,Locked,
RP,Yohan Ramirez,44,2024 MLB,2024,New York Mets,89,68,54,24,10,0,2,Inactive,Activate,Locked,
RP,Yohan Ramirez,40,RS,2020,Seattle Mariners,113,80,12,16,65,0,1,Inactive,Activate,Locked,
RP,Nick Ramirez,50,2024 MLB,2024,New York Yankees,63,68,78,22,9,0,2,Inactive,Activate,QS 5,Sell
3B,Jose Ramirez,94,2024 MLB,2024,Cleveland Guardians,78,82,80,73,6 105,0,2,Active,Deactivate,Locked,
SP,Horacio Ramirez,54,RS,2003,Atlanta Braves,42,77,63,68,14,0,0,Inactive,Activate,QS 5,Sell
RP,Erasmo Ramirez,53,2024 MLB,2024,Tampa Bay Rays,61,66,88,33,9,0,2,Inactive,Activate,QS 5,Sell
RP,Brooks Raley,86,2024 MLB,2024,New York Mets,96,92,70,15,2 190,0,2,Active,Deactivate,Locked,
RP,Tanner Rainey,53,2024 MLB,2024,Washington Nationals,95,69,55,15,10,0,2,Inactive,Activate,Locked,
LF,Tim Raines,81,HaH,1981,Montreal Expos,82,59,86,71,2 184,0,0,Reserve,Deactivate,QS 1 000,Sell
SP,Ken Raffensberger,64,HaH,1946,Philadelphia Phillies,46,73,111,78,72,0,0,Inactive,Activate,QS 25,Sell
SS,Paul Radford,76,UnH,1891,Boston Reds,63,14,111,86,345,0,0,Inactive,Activate,QS 100,Sell
C,Dave Rader,58,Snapshot,1974,San Francisco Giants,78,25,53,49,19,0,0,Inactive,Activate,QS 5,Sell
RF,Carlos Quentin,55,All-Star,2011,Chicago White Sox,54,93,90,46,38,0,0,Inactive,Activate,QS 5,Sell
SP,Mel Queen,52,Snapshot,1951,Pittsburgh Pirates,115,61,38,66,16,0,0,Inactive,Activate,QS 5,Sell
SP,Paul Quantrill,40,Snapshot,1996,Toronto Blue Jays,48,55,70,54,111,0,1,Inactive,Activate,QS 5,Sell
SP,Cal Quantrill,71,2024 MLB,2024,Colorado Rockies,71,74,86,72,415,0,2,Inactive,Activate,Locked,
LF,Blondie Purcell,47,UnH,1884,Philadelphia Quakers,71,31,72,47,19,0,0,Inactive,Activate,QS 5,Sell
CL,A.J. Puk,71,2024 MLB,2024,Miami Marlins,111,65,80,32,632,0,2,Reserve,Deactivate,Locked,
3B,Doc Prothro,54,UnH,1925,Boston Red Sox,77,19,74,46,23,0,0,Inactive,Activate,QS 5,Sell
LF,Jurickson Profar,62,2024 MLB,2024,San Diego Padres,66,44,80,75,62,0,2,Inactive,Activate,Locked,
SS,Jurickson Profar,57,Snapshot,2018,Texas Rangers,66,74,75,38,20,0,0,Inactive,Activate,QS 5,Sell
SP,Quinn Priester,71,2024 MLB,2024,Pittsburgh Pirates,73,77,70,64,329,0,2,Inactive,Activate,Locked,
3B,Jim Presley,67,All-Star,1986,Seattle Mariners,65,110,52,59,302,0,0,Reserve,Deactivate,QS 25,Sell
1B,Nick Pratto,70,2024 MLB,2024,Kansas City Royals,72,75,78,75,291,0,2,Reserve,Deactivate,Locked,
RF,Ray Powell,40,Snapshot,1919,Boston Braves,50,54,74,58,17,0,0,Inactive,Activate,QS 5,Sell
RP,Jay Powell,67,UnH,1998,Florida Marlins,77,84,48,14,44,0,0,Inactive,Activate,QS 25,Sell
RF,Hosken Powell,68,UnH,1979,Minnesota Twins,79,27,72,91,47,0,0,Inactive,Activate,QS 25,Sell
RF,Hosken Powell,68,UnH,1979,Minnesota Twins,79,27,72,91,47,0,0,Inactive,Activate,QS 25,Sell
C,Jorge Posada,75,All-Star,2003,New York Yankees,61,93,121,58,856,0,0,Inactive,Activate,QS 100,Sell
C,Darrell Porter,56,Snapshot,1985,St. Louis Cardinals,42,78,93,74,46,0,0,Inactive,Activate,QS 5,Sell
CF,Dave Pope,44,Snapshot,1955,Baltimore Orioles,61,61,65,71,26,0,0,Inactive,Activate,QS 5,Sell
RP,Zach Pop,49,2024 MLB,2024,Toronto Blue Jays,63,71,75,19,8,0,2,Inactive,Activate,Locked,
SP,Sidney Ponson,51,RS,1998,Baltimore Orioles,46,68,76,57,18,0,0,Inactive,Activate,QS 5,Sell
2B,Jorge Polanco,69,2024 MLB,2024,Seattle Mariners,68,81,78,64,52,0,2,Inactive,Activate,Locked,
